index,reason,company,product_descrpition,brand_name,date,url
0,http://www.fda.gov/Safety/Recalls/ucm348095.htm,NuVision Pharmacy,Lyophilized compounds HcG 5000IU-5ml and Sermorelin/GHRH6-5ml,NuVision Pharmacy,Lack of sterility assurance,04/2013
1,http://www.fda.gov/Safety/Recalls/ucm348094.htm,ApothéCure Inc.,Sterile drug products,ApothéCure,Lack of sterility assurance,04/2013
2,http://www.fda.gov/Safety/Recalls/ucm348235.htm,"Cedarlane Natural Foods, Inc.",Enchiladas,O Organics,Undeclared milk,04/2013
3,http://www.fda.gov/Safety/Recalls/ucm347863.htm,Wild Blue Yonder Foods,Simply Granola with Flax and Fruit (Gluten Free),Chappaqua Crunch,Undeclared Almonds,04/2013
4,http://www.fda.gov/Safety/Recalls/ucm347979.htm,Winn Dixie,Apple Juice,Winn Dixie,May contain elevated levels of patulin.,04/2013
5,http://www.fda.gov/Safety/Recalls/ucm347558.htm,Affirm XL,Dietary supplement,Affirm XL,Contain an analogue of sildenafil,04/2013
6,http://www.fda.gov/Safety/Recalls/ucm347552.htm,Stryker Corporation,ShapeMatch Cutting Guides,Stryker Corporation,Due to the potential that ShapeMatch Cutting Guides may not have been manufactured in accordance with surgeon preoperative planning parameters or may have been manufactured outside of the planning ranges specified in the 510(k) clearance,04/2013
7,http://www.fda.gov/Safety/Recalls/ucm347559.htm,Green Valley Drugs,"Sterile, compounded products",Green Valley Drugs,Lack of sterility assurance and concerns associated with the quality control processes,04/2013
8,http://www.fda.gov/Safety/Recalls/ucm346674.htm,Little Mermaid Smoke House,Smoked Herring and Pickled Herring fish,Little Mermaid Smoke House,"Products were found to be uneviscerated, and have the potential to be contaminated with Clostridium botulinum",04/2013
9,http://www.fda.gov/Safety/Recalls/ucm346633.htm,Rich Products Corporation,"Mozzarella bites, quesadillas, pizza slices and more","Farm Rich, Market Day, Schwan&#39;s",Escherichia coli O121,04/2013
10,http://www.fda.gov/Safety/Recalls/ucm346792.htm,Centerville Pie Company,Clam Pies,Centerville Pie,Undeclared fish (anchovies),04/2013
11,http://www.fda.gov/Safety/Recalls/ucm346496.htm,Bravo!,"Chicken Balance, Chicken Blend and Beef Blend Burgers - Raw Frozen Food Diet for Dogs and Cats",Bravo!,Potential to be contaminated with &lt;i&gt;Salmonella&lt;/i&gt;,04/2013
12,http://www.fda.gov/Safety/Recalls/ucm347026.htm,"Consumer Concepts, Inc.",Male sexual enhancement capsules,ROCK-IT-MAN,"Product contains hydroxythiohomosildenafil, an analogue of sildenafil",04/2013
13,http://www.fda.gov/Safety/Recalls/ucm345971.htm,Natura Pet Products,Pet food,"California Natural, Evo, Health Wise, more",&lt;i&gt;Salmonella&lt;/i&gt;,03/2013
14,http://www.fda.gov/Safety/Recalls/ucm345963.htm,"Hospira, Inc.",Sodium Chloride Injection,Hospira,Brass particulates,03/2013
15,http://www.fda.gov/Safety/Recalls/ucm345785.htm,"Heartland Gourmet, LLC","Cookie mix, Pizza mix",Heartland Gourmet,Undeclared milk,03/2013
16,http://www.fda.gov/Safety/Recalls/ucm345896.htm,Rich Products Corporation,"Mozzarella Bites, Quesadillas, Pizza","Farm Rich, Market Day",Escherichia coli O121,03/2013
17,http://www.fda.gov/Safety/Recalls/ucm345921.htm,"Lifestyle Evolution, Inc.",Dessert Bars,NuGO,Undeclared milk,03/2013
18,http://www.fda.gov/Safety/Recalls/ucm345602.htm,Buffalo Trace Distillery,Marinade and Sauces,Buffalo Trace Distillery,"Undeclared soy, anchovy, milk, and/or wheat",03/2013
19,http://www.fda.gov/Safety/Recalls/ucm345857.htm,Lisy Corporation,Seasoning blends,Lisy,Undeclared soy,03/2013
20,http://www.fda.gov/Safety/Recalls/ucm345468.htm,"Pallimed Solutions, Inc.",Sterile compounded drugs,"Pallimed Solutions, Inc.",Visible particulates,03/2013
21,http://www.fda.gov/Safety/Recalls/ucm345464.htm,La Preferida Inc.,Canned Pinto beans,La Preferida,Spoilage organisms or Pathogens,03/2013
22,http://www.fda.gov/Safety/Recalls/ucm345853.htm,Publix Super Markets,Fruit and Grain Salad,Publix Deli,Listeria monocytogenes,03/2013
23,http://www.fda.gov/Safety/Recalls/ucm345197.htm,Gold Standard Baking,Coffee Cake,Sweet P&#39;s Bake Shop,Undeclared walnuts,03/2013
24,http://www.fda.gov/Safety/Recalls/ucm344787.htm,"Med Prep Consulting, Inc.",All compounded products,"Med Prep Consulting, Inc.",Due To Potential Mold Contamination,03/2013
