reason,company,product_descrpition,brand_name,date
Lack of sterility assurance,NuVision Pharmacy,Lyophilized compounds HcG 5000IU-5ml and Sermorelin/GHRH6-5ml,NuVision Pharmacy,04/2013
Lack of sterility assurance,ApothéCure Inc.,Sterile drug products,ApothéCure,04/2013
Undeclared milk,"Cedarlane Natural Foods, Inc.",Enchiladas,O Organics,04/2013
Undeclared Almonds,Wild Blue Yonder Foods,Simply Granola with Flax and Fruit (Gluten Free),Chappaqua Crunch,04/2013
May contain elevated levels of patulin.,Winn Dixie,Apple Juice,Winn Dixie,04/2013
Contain an analogue of sildenafil,Affirm XL,Dietary supplement,Affirm XL,04/2013
Due to the potential that ShapeMatch Cutting Guides may not have been manufactured in accordance with surgeon preoperative planning parameters or may have been manufactured outside of the planning ranges specified in the 510(k) clearance,Stryker Corporation,ShapeMatch Cutting Guides,Stryker Corporation,04/2013
Lack of sterility assurance and concerns associated with the quality control processes,Green Valley Drugs,"Sterile, compounded products",Green Valley Drugs,04/2013
"Products were found to be uneviscerated, and have the potential to be contaminated with Clostridium botulinum",Little Mermaid Smoke House,Smoked Herring and Pickled Herring fish,Little Mermaid Smoke House,04/2013
Escherichia coli O121,Rich Products Corporation,"Mozzarella bites, quesadillas, pizza slices and more","Farm Rich, Market Day, Schwan&#39;s",04/2013
Undeclared fish (anchovies),Centerville Pie Company,Clam Pies,Centerville Pie,04/2013
Potential to be contaminated with &lt;i&gt;Salmonella&lt;/i&gt;,Bravo!,"Chicken Balance, Chicken Blend and Beef Blend Burgers - Raw Frozen Food Diet for Dogs and Cats",Bravo!,04/2013
"Product contains hydroxythiohomosildenafil, an analogue of sildenafil","Consumer Concepts, Inc.",Male sexual enhancement capsules,ROCK-IT-MAN,04/2013
&lt;i&gt;Salmonella&lt;/i&gt;,Natura Pet Products,Pet food,"California Natural, Evo, Health Wise, more",03/2013
Brass particulates,"Hospira, Inc.",Sodium Chloride Injection,Hospira,03/2013
Undeclared milk,"Heartland Gourmet, LLC","Cookie mix, Pizza mix",Heartland Gourmet,03/2013
Escherichia coli O121,Rich Products Corporation,"Mozzarella Bites, Quesadillas, Pizza","Farm Rich, Market Day",03/2013
Undeclared milk,"Lifestyle Evolution, Inc.",Dessert Bars,NuGO,03/2013
